Team,DF,FW,GK,MF,Weighted Elo
Manchester City,1649.1082819148228,1705.1756437385015,1589.3992653761848,1682.3603604836196,7478.631373382381
Liverpool,1606.843476059541,1642.391768866266,1590.9228726227816,1609.510211702911,7270.864213684632
Arsenal,1600.3920247270526,1644.1960885426677,1504.7309816183763,1608.064517069917,7179.481656229347
Manchester Utd,1595.6996910107143,1586.4466554808184,1562.6814274294632,1572.85492057033,7110.906022231735
Chelsea,1556.0653112886116,1565.209219445422,1524.8365693186481,1579.0747072730603,7007.790417048453
Tottenham,1542.761725508402,1565.5868431545548,1533.4119071929526,1545.9356693035872,6970.489566736775
Aston Villa,1517.1751014867702,1569.2658913035852,1494.7503520848877,1547.2007565118095,6913.0250470388455
Brighton,1519.7084217450702,1548.8618973629113,1506.6560896722137,1531.6823800572404,6881.3397375188915
Brentford,1510.1199157371261,1574.747435787626,1497.707015200873,1498.2859915283998,6868.234076147837
Leicester City,1503.0103506211478,1532.925656652632,1498.4821111116923,1531.6590604630642,6832.540007174853
Newcastle Utd,1502.0781537958565,1544.0058596509386,1472.8660951935317,1532.7293146868192,6823.682353152615
Bournemouth,1496.6391798663071,1539.0881804888897,1512.337260047959,1500.4010073250151,6818.009717972615
Nott'ham Forest,1498.044545449089,1543.1397305146759,1495.3625977003603,1496.8793847406994,6804.996123662163
West Ham,1504.4768253638483,1541.4043538059075,1479.9669566102443,1505.9908126046196,6802.541125287573
Crystal Palace,1496.6004566272522,1539.660481609837,1478.490493753292,1512.6464510214932,6797.2281238167925
Wolves,1482.9305254023657,1537.5520034949866,1489.887271820301,1503.284919760459,6782.430722225606
Everton,1487.6939346650474,1519.0470775700107,1479.541691066739,1520.3433693044244,6766.149611391227
Fulham,1476.662627990608,1520.59957523063,1496.5054749673222,1487.331244336811,6741.398710140686
Swansea City,1457.1885390959587,1551.5655652489236,1461.181976417692,1486.6168567474986,6732.335720134535
Leeds United,1464.5425900983867,1504.6413805224047,1492.1774318813837,1506.1608550924016,6719.842947855779
Watford,1428.6864384715407,1534.0048757837435,1488.6142274427075,1475.307411522606,6693.615391112469
Burnley,1464.4030729526426,1519.064679002528,1475.788463002657,1471.0072946173975,6689.795849076489
Cardiff City,1422.5258704047521,1513.1215334891785,1482.584614040126,1481.0480740280327,6655.840858706679
Stoke City,1458.4384064252674,1509.500546138973,1455.860742924718,1469.8278818630395,6648.377850421484
Huddersfield,1460.0055615912934,1520.772564028558,1413.1614273459847,1493.0955931592873,6647.421428139402
Luton Town,1442.746660353021,1498.6562099235343,1453.3719346491616,1476.0798699648715,6620.182779852355
Southampton,1463.646291511078,1499.2163097157345,1436.276724137462,1468.9449377334759,6617.692417955618
West Brom,1439.7584614315042,1500.1793096589024,1450.4718259564518,1474.5190661735342,6615.018318049843
Norwich City,1416.9626725784274,1488.9874700334474,1473.9332324846548,1454.774694710217,6579.15180482347
Sheffield Utd,1394.012118270234,1497.2993624105713,1485.4465936443444,1441.338535506599,6566.746291037034
